CustomerID,CustomerName,Payment History,CreditUtilization,SavingsHabit,LoanRepayment,InvestmentActivity,DigitalBanking,CustomerService
1043,Meera Bose,67,71,61,71,91,83,79
1044,Yash Menon,73,33,89,43,80,69,76
1045,Kiara Bhat,61,57,93,61,69,62,67
1046,Rahul Patel,60,40,64,60,74,77,100
1047,Pooja Desai,80,86,83,94,82,70,70
1048,Aarav Kapoor,67,46,92,70,90,48,63
1049,Sai Yadav,72,72,65,81,55,69,73
1050,Aarav Malhotra,79,20,67,64,85,63,100
1051,Aryan Mehta,80,90,75,72,96,91,58
1052,Sneha Bhat,73,41,100,68,80,100,75
1053,Amit Patel,90,69,73,64,54,62,44
1054,Aryan Shetty,85,45,94,58,80,60,97
1055,Neha Gupta,79,72,51,79,64,87,68
1056,Sai Sharma,70,39,79,53,54,71,58
1057,Kabir Mehta,53,72,74,72,83,73,83
1058,Aadhya Menon,60,68,73,85,79,66,85
1059,Myra Pandey,60,80,89,75,73,58,61
1060,Yash Patel,54,92,52,100,62,78,96
1061,Anjali Malhotra,41,88,82,67,50,80,40
1062,Pooja Desai,71,62,64,63,59,72,59
1063,Anjali Chauhan,77,70,75,76,61,64,79
1064,Myra Reddy,75,46,80,62,80,60,44
1065,Pooja Bhat,65,67,49,83,54,76,100
1066,Pooja Pillay,47,59,66,87,63,84,55
1067,Anika Iyer,61,100,45,56,74,73,79
1068,Amit Pai,95,79,82,79,79,63,61
1069,Aadhya Mishra,67,81,97,84,98,66,75
1070,Pooja Shetty,84,100,48,53,47,60,72
1071,Anjali Agarwal,37,93,90,58,58,79,71
1072,Rajesh Deshpande,87,84,87,64,77,81,58
1073,Arjun Tiwari,65,75,38,82,100,57,100
1074,Amit Mehta,74,93,64,72,69,97,79
1075,Karan Chauhan,54,61,46,62,83,75,85
1076,Diya Rao,57,98,80,75,78,75,54
1077,Krishna Naidu,67,64,65,65,64,86,56
1078,Myra Desai,61,92,61,81,62,58,75
1079,Yash Mishra,68,81,91,59,49,68,55
1080,Dev Pandey,69,31,71,68,82,99,88
1081,Rahul Kapoor,56,79,60,69,72,74,61
1082,Aryan Agarwal,74,74,69,63,63,71,63
1083,Anjali Agarwal,92,32,40,53,54,75,76
1084,Meera Gupta,68,50,60,55,98,86,91
1085,Aarav Pandey,61,61,73,70,79,56,66
1086,Neha Menon,68,82,78,66,89,55,81
1087,Priya Shetty,46,98,53,59,91,45,83
1088,Tanvi Bose,50,86,66,66,75,76,72
1089,Aryan Malhotra,100,30,85,87,51,64,56
1090,Om Mishra,99,76,81,86,80,92,73
1091,Tanvi Verma,100,82,64,79,96,95,56
1092,Anika Mishra,79,93,64,44,57,74,68
1093,Amit Desai,68,90,75,78,80,73,79
1094,Kabir Chauhan,70,45,70,53,74,75,75
1095,Sneha Iyer,66,75,74,66,100,71,48
1096,Aditya Kapoor,65,81,86,81,48,61,68
1097,Anika Nair,75,100,82,91,84,85,72
1098,Navya Pandey,72,92,87,74,66,73,63
1099,Anika Shetty,53,100,61,66,59,81,69
1100,Amit Kapoor,57,92,31,92,91,85,41
1101,Sneha Gupta,56,91,68,74,78,43,62
1102,Navya Sharma,87,76,85,73,87,64,93
1103,Pari Menon,61,49,68,62,98,74,71
1104,Rajesh Kapoor,69,56,60,71,75,95,57
1105,Diya Tiwari,69,59,100,62,89,96,48
1106,Sneha Pandey,73,62,63,62,89,93,63
1107,Anika Menon,70,86,92,82,70,88,49
1108,Amit Iyer,61,70,69,73,75,57,59
1109,Tanvi Pai,68,73,80,72,72,87,74
1110,Anjali Verma,84,88,73,74,97,66,80
1111,Saanvi Reddy,76,62,74,69,71,80,63
1112,Meera Kapoor,81,78,78,68,72,84,49
1113,Anika Pai,83,51,94,75,75,65,80
1114,Rahul Yadav,72,80,61,63,79,79,62
1115,Anika Nair,61,71,100,60,46,92,89
1116,Ananya Mishra,65,82,71,91,73,84,64
1117,Aadhya Bhat,52,85,81,70,99,55,49
1118,Aditya Tiwari,61,85,68,61,61,73,68
1119,Diya Kapoor,70,88,77,78,80,78,81
1120,Dev Yadav,91,96,94,77,48,63,65
1121,Kabir Naidu,85,46,76,71,70,54,57
1122,Priya Pillay,96,87,55,77,79,71,63
1123,Dev Iyer,71,54,94,85,68,72,75
1124,Pooja Iyer,41,67,70,69,61,74,56
1125,Myra Verma,73,67,75,85,94,94,77
1126,Ayaan Kapoor,69,90,80,66,100,81,100
1127,Sai Mishra,70,94,97,65,97,88,100
1128,Kiara Shetty,65,97,68,69,87,79,42
1129,Aditya Yadav,81,56,68,46,77,81,64
1130,Vihaan Yadav,95,48,100,70,98,47,63
1131,Diya Gupta,94,92,62,77,79,75,63
1132,Aadhya Verma,61,76,67,47,71,69,87
1133,Meera Pandey,61,76,52,88,87,67,72
1134,Diya Menon,70,50,63,78,67,43,62
1135,Amit Nair,58,78,100,53,52,49,47
1136,Diya Chauhan,90,82,86,88,69,95,100
1137,Riya Kapoor,53,81,74,58,58,96,100
1138,Sneha Pandey,68,85,77,86,28,100,69
1139,Riya Shetty,57,81,76,62,88,69,80
1140,Om Reddy,58,71,100,86,76,65,73
1141,Ayaan Pandey,88,89,81,54,96,54,76
1142,Sai Iyer,60,66,75,62,67,90,82
1143,Vihaan Pillay,85,69,66,83,67,86,86
1144,Rohan Mehta,51,92,95,41,88,100,88
1145,Neha Malhotra,67,71,54,76,91,82,100
1146,Ayaan Joshi,72,73,54,69,47,87,39
1147,Rohan Shetty,85,69,54,94,70,50,64
1148,Vihaan Joshi,65,100,76,72,83,59,74
1149,Rajesh Kapoor,76,71,73,91,63,79,86
1150,Isha Bhat,62,92,70,63,72,79,74
1151,Kabir Naidu,100,78,80,89,65,55,74
1152,Om Tiwari,75,61,85,67,90,61,76
1153,Isha Nair,100,53,79,60,66,78,90
1154,Neha Reddy,96,63,51,70,100,59,96
1155,Meera Iyer,80,96,66,68,63,56,62
1156,Vihaan Singh,53,60,72,62,82,87,73
1157,Aditya Naidu,68,48,49,52,71,73,85
1158,Isha Chauhan,45,80,58,74,50,70,58
1159,Pari Rao,91,53,63,50,73,83,73
1160,Sai Naidu,90,74,67,74,69,82,86
1161,Aadhya Patel,55,58,61,68,73,82,59
1162,Aryan Mishra,47,77,100,71,84,73,70
1163,Kavya Bose,80,80,64,68,54,66,56
1164,Riya Kapoor,91,88,79,71,84,92,80
1165,Aditya Gupta,56,67,62,69,72,79,70
1166,Saanvi Kumar,79,66,81,72,68,52,48
1167,Arjun Agarwal,63,62,96,70,49,85,53
1168,Rohan Iyer,68,61,84,80,58,94,92
1169,Anjali Malhotra,61,61,79,56,79,82,65
1170,Kavya Deshpande,91,42,100,65,54,68,56
1171,Tanvi Mehta,98,83,78,54,86,64,54
1172,Shreya Singh,79,70,65,84,52,45,71
1173,Om Bose,65,58,69,97,51,47,94
1174,Saanvi Malhotra,68,89,55,48,65,70,85
1175,Ananya Shetty,83,76,91,95,72,60,78
1176,Aarav Shetty,61,68,73,75,65,59,91
1177,Isha Reddy,62,89,90,38,60,69,86
1178,Ayaan Pai,72,50,94,67,68,91,80
1179,Yash Mishra,86,71,60,66,56,70,84
1180,Pari Yadav,71,75,58,68,60,39,86
1181,Kabir Bhat,64,67,75,69,51,85,76
1182,Diya Iyer,75,100,82,77,95,88,60
1183,Yash Naidu,97,76,76,61,54,71,57
1184,Shreya Chowdhury,45,81,93,74,59,69,87
1185,Ayaan Nair,91,75,80,77,59,62,77
1186,Yash Nair,84,83,80,95,86,82,38
1187,Isha Naidu,75,75,84,83,88,83,70
1188,Kiara Chauhan,90,67,57,90,81,65,66
1189,Tanvi Desai,65,54,86,68,98,73,68
1190,Vihaan Menon,67,96,86,62,84,71,91
1191,Kiara Naidu,88,84,73,91,58,67,58
1192,Rahul Tiwari,83,83,85,58,63,71,100
1193,Karan Mehta,89,67,89,42,53,77,50
1194,Saanvi Reddy,54,74,45,76,69,65,48
1195,Arjun Chowdhury,50,29,82,70,85,93,73
1196,Isha Pillay,74,67,57,71,84,57,57
1197,Aadhya Menon,71,75,89,68,61,64,87
1198,Rohan Patel,100,88,61,69,68,77,97
1199,Dev Mehta,68,85,79,80,70,100,59
1200,Kiara Agarwal,81,73,77,59,67,65,63
1201,Reyansh Naidu,87,100,67,74,77,99,70
1202,Aarav Nair,59,78,85,36,56,81,100
1203,Dev Mehta,92,72,62,71,62,81,61
1204,Vihaan Kumar,64,77,59,64,61,73,81
1205,Rahul Mishra,99,100,67,61,60,49,64
1206,Aryan Pandey,90,59,68,51,68,91,61
1207,Shreya Desai,87,51,30,87,53,75,48
1208,Karan Kapoor,91,72,52,65,73,92,60
1209,Shreya Patel,59,89,71,76,77,62,77
1210,Aditya Sharma,60,64,53,79,68,76,65
1211,Ananya Verma,69,91,70,38,64,86,80
1212,Om Bose,59,63,96,75,78,78,53
1213,Aryan Joshi,95,79,78,77,64,76,58
1214,Riya Yadav,79,68,63,66,78,63,69
1215,Aadhya Patel,77,79,81,88,78,68,82
1216,Karan Verma,100,46,37,74,88,75,71
1217,Aadhya Tiwari,63,70,76,74,82,65,79
1218,Kiara Iyer,68,87,100,80,100,60,100
1219,Tanvi Desai,58,73,43,67,47,83,87
1220,Vihaan Tiwari,59,86,97,70,69,73,89
1221,Arjun Joshi,77,89,75,81,81,100,44
1222,Diya Kumar,61,79,92,69,86,96,91
1223,Riya Pandey,56,83,57,72,68,35,78
1224,Sneha Tiwari,74,72,97,62,74,60,52
1225,Diya Pillay,68,40,78,53,58,61,68
1226,Ayaan Reddy,72,64,83,36,50,64,51
1227,Krishna Menon,75,60,67,60,88,72,100
1228,Kiara Reddy,71,66,62,51,44,84,69
1229,Diya Chowdhury,85,63,74,62,61,77,59
1230,Navya Chauhan,38,68,57,70,73,68,62
1231,Meera Verma,90,89,89,45,75,83,77
1232,Karan Desai,81,54,73,71,68,70,43
1233,Myra Mishra,69,49,87,66,60,69,88
1234,Rajesh Yadav,73,63,52,100,51,66,75
1235,Ananya Joshi,70,66,92,100,78,56,69
1236,Ishaan Yadav,78,91,64,59,75,73,89
1237,Diya Pillay,100,65,71,54,72,64,70
1238,Karan Kumar,78,70,66,68,95,80,67
1239,Shreya Nair,64,37,73,71,59,73,55
1240,Anika Singh,76,71,77,52,73,81,64
1241,Aditya Nair,80,84,72,52,55,83,74
1242,Aarav Yadav,90,76,66,81,62,58,87
1243,Kabir Pandey,69,93,61,78,78,83,96
1244,Diya Naidu,95,76,66,76,66,81,66
1245,Diya Pillay,70,54,71,77,75,87,50
1246,Pooja Bose,59,63,92,39,100,87,75
1247,Aadhya Tiwari,89,66,78,94,89,68,69
1248,Saanvi Mehta,87,81,74,71,66,88,86
1249,Ishaan Nair,93,91,64,87,75,97,70
1250,Shreya Sharma,66,74,74,62,76,95,61
1251,Aadhya Patel,61,69,60,67,43,75,72
1252,Pari Pillay,59,47,60,60,57,84,69
1253,Amit Deshpande,48,70,73,72,47,90,59
1254,Anika Shetty,77,26,74,99,90,75,64
1255,Aadhya Kapoor,84,80,75,92,54,72,60
1256,Priya Kumar,85,57,86,58,68,80,62
1257,Navya Naidu,67,74,84,58,62,67,51
1258,Karan Verma,59,87,62,69,86,68,83
1259,Diya Agarwal,75,63,35,69,93,85,86
1260,Pooja Menon,90,56,87,75,67,65,74
1261,Shreya Naidu,72,81,50,37,63,53,64
1262,Saanvi Kapoor,69,39,92,59,93,77,81
1263,Kabir Sharma,81,83,70,65,74,66,100
1264,Rohan Yadav,57,73,67,79,80,58,73
1265,Ishaan Kumar,76,69,79,84,59,89,68
1266,Amit Reddy,78,93,63,46,67,65,66
1267,Diya Tiwari,60,74,49,51,68,52,53
1268,Reyansh Bhat,52,86,100,100,83,87,73
1269,Krishna Reddy,77,89,57,62,76,74,62
1270,Aryan Rao,100,72,75,53,62,66,67
1271,Om Pandey,77,93,76,66,52,95,54
1272,Tanvi Menon,84,76,98,74,66,78,74
1273,Riya Bhat,46,61,61,90,81,74,76
1274,Saanvi Bose,95,88,74,86,71,59,78
1275,Ananya Singh,36,80,60,76,71,100,80
1276,Diya Reddy,70,84,70,64,63,80,83
1277,Sneha Malhotra,72,80,70,53,57,84,92
1278,Riya Menon,89,80,78,89,77,63,91
1279,Rahul Nair,64,79,92,72,59,59,85
1280,Ishaan Patel,68,60,48,51,47,75,74
1281,Meera Tiwari,83,50,44,96,59,83,55
1282,Vihaan Chauhan,82,79,97,44,60,69,74
1283,Reyansh Mehta,93,63,50,75,59,56,65
1284,Karan Patel,73,82,66,58,70,85,83
1285,Dev Nair,72,91,62,71,77,69,86
1286,Sai Chauhan,38,59,81,86,69,88,58
1287,Isha Mehta,94,64,84,75,63,83,62
1288,Isha Deshpande,66,82,60,54,74,52,45
1289,Ishaan Tiwari,73,45,83,51,38,67,74
1290,Rohan Chauhan,79,72,57,37,74,88,86
1291,Sai Sharma,65,86,66,65,57,78,76
1292,Aarav Malhotra,65,55,66,82,84,67,70
1293,Kavya Pai,79,90,72,100,76,99,37
1294,Arjun Tiwari,92,56,71,74,75,87,94
1295,Vivaan Menon,72,92,68,64,72,73,62
1296,Pooja Malhotra,64,71,68,66,52,70,82
1297,Rahul Kumar,50,80,61,68,90,54,74
1298,Riya Naidu,71,63,77,82,81,78,69
1299,Ayaan Mishra,78,71,73,57,72,77,77
1300,Karan Malhotra,52,49,62,70,50,58,56
1301,Ishaan Pillay,73,77,70,74,74,59,94
1302,Rajesh Desai,90,84,54,84,95,55,58
1303,Vivaan Chowdhury,100,57,50,93,74,64,81
1304,Krishna Patel,69,83,93,59,82,71,100
1305,Karan Naidu,82,67,75,76,29,80,100
1306,Riya Singh,80,77,80,61,58,97,67
1307,Pooja Reddy,46,91,83,67,69,35,85
1308,Aditya Nair,61,46,73,66,94,80,63
1309,Meera Malhotra,65,92,76,85,71,91,54
1310,Myra Yadav,73,72,31,78,92,77,52
1311,Reyansh Chowdhury,64,71,61,58,83,69,72
1312,Ishaan Yadav,56,83,77,80,86,67,62
1313,Vihaan Rao,73,47,39,79,87,64,61
1314,Neha Shetty,87,70,76,73,38,68,59
1315,Kavya Deshpande,77,67,85,79,78,81,100
1316,Amit Mehta,55,57,80,56,83,73,98
1317,Kabir Naidu,61,53,68,67,100,78,51
1318,Myra Bose,63,73,78,40,93,92,37
1319,Ishaan Pai,58,80,32,72,76,85,56
1320,Amit Deshpande,73,78,59,64,52,70,74
1321,Meera Desai,80,92,78,84,86,68,82
1322,Pari Pandey,57,85,88,68,96,67,77
1323,Reyansh Kumar,91,72,65,34,71,69,58
1324,Ayaan Naidu,61,51,70,81,78,77,72
1325,Navya Verma,76,72,70,63,74,67,95
1326,Vihaan Tiwari,84,65,70,80,68,88,65
1327,Krishna Yadav,60,75,47,99,90,100,92
1328,Anika Gupta,55,88,94,61,79,74,70
1329,Amit Mishra,74,76,97,88,74,86,56
1330,Saanvi Reddy,77,59,62,55,60,66,50
1331,Diya Nair,51,72,75,64,89,65,88
1332,Tanvi Pandey,80,73,71,50,88,59,62
1333,Saanvi Tiwari,49,81,87,80,82,83,57
1334,Rahul Pai,93,77,48,73,68,82,67
1335,Anjali Chowdhury,100,61,75,66,80,85,81
1336,Aditya Singh,87,100,54,55,54,67,88
1337,Rajesh Yadav,53,82,92,81,88,100,86
1338,Ishaan Agarwal,76,74,72,66,95,59,94
1339,Riya Joshi,82,74,68,80,49,74,88
1340,Riya Pillay,80,63,73,100,64,56,94
1341,Aryan Reddy,72,52,88,88,52,85,78
1342,Vihaan Sharma,56,80,58,100,64,66,77
1343,Riya Kapoor,79,91,84,79,57,100,55
1344,Shreya Malhotra,67,77,68,98,95,65,69
1345,Ayaan Chowdhury,59,69,85,75,76,83,78
1346,Karan Desai,66,75,74,68,67,82,56
1347,Priya Shetty,80,74,65,76,59,42,96
1348,Rajesh Chowdhury,56,68,60,69,48,64,67
1349,Myra Chauhan,77,72,80,53,65,88,51
1350,Isha Chauhan,56,84,94,70,53,61,87
1351,Dev Gupta,69,87,71,74,57,86,54
1352,Yash Joshi,64,75,72,55,80,94,77
1353,Anjali Bhat,72,66,100,66,99,80,59
1354,Navya Joshi,76,64,42,64,77,75,53
1355,Om Kumar,53,81,40,84,58,78,52
1356,Rajesh Gupta,76,62,63,63,84,55,75
1357,Aadhya Gupta,90,58,44,84,74,46,100
1358,Vihaan Singh,81,92,96,69,64,60,58
1359,Aarav Mehta,62,58,74,80,83,86,92
1360,Anika Bose,81,89,66,63,55,100,75
1361,Krishna Bhat,79,100,40,97,67,76,71
1362,Krishna Mehta,65,94,69,75,79,53,78
1363,Ananya Deshpande,76,65,83,55,83,73,62
1364,Shreya Singh,69,73,91,61,83,69,71
1365,Vivaan Pai,70,75,95,86,85,65,58
1366,Isha Mishra,86,100,64,41,80,92,67
1367,Kavya Kumar,70,60,59,53,64,54,55
1368,Aadhya Singh,76,73,27,69,47,90,83
1369,Anjali Nair,63,58,69,94,66,80,82
1370,Riya Rao,78,67,80,55,85,64,64
1371,Rohan Pandey,75,75,71,52,77,61,83
1372,Dev Pandey,92,47,53,72,68,100,75
1373,Anjali Kapoor,81,73,69,67,68,74,68
1374,Tanvi Chowdhury,62,76,68,82,86,86,76
1375,Diya Deshpande,75,53,77,69,43,59,65
1376,Anjali Chauhan,100,50,81,44,87,78,78
1377,Tanvi Gupta,52,51,63,87,49,29,65
1378,Ayaan Chowdhury,80,94,78,61,85,64,75
1379,Aryan Pandey,81,74,55,59,89,95,80
1380,Aadhya Singh,68,61,60,95,73,73,69
1381,Kavya Agarwal,83,55,62,44,95,66,100
1382,Shreya Joshi,100,61,57,65,72,73,49
1383,Vivaan Gupta,72,48,77,68,92,93,93
1384,Navya Kapoor,63,61,99,83,80,75,68
1385,Sai Menon,68,89,82,68,81,64,100
1386,Shreya Nair,32,44,83,70,78,59,91
1387,Kabir Menon,92,64,73,66,91,88,78
1388,Arjun Mehta,54,84,71,65,77,45,100
1389,Ishaan Kumar,86,88,88,63,63,68,81
1390,Kabir Singh,64,55,58,57,57,66,51
1391,Navya Gupta,73,65,70,71,46,94,72
1392,Karan Tiwari,78,95,78,72,55,54,67
1393,Anika Menon,66,68,74,64,56,57,90
1394,Shreya Chowdhury,53,56,47,53,73,91,76
1395,Karan Shetty,69,69,59,51,97,59,95
1396,Saanvi Reddy,59,52,83,56,60,49,64
1397,Myra Pandey,74,55,79,100,75,27,90
1398,Rohan Chowdhury,61,66,94,100,57,72,100
1399,Pari Kumar,71,66,62,66,75,59,46
1400,Anika Sharma,74,50,71,89,81,78,91
1401,Vihaan Rao,69,67,82,71,89,52,53
1402,Pari Singh,83,88,76,67,40,68,80
1403,Diya Mishra,55,100,52,74,87,53,74
1404,Meera Menon,86,82,40,77,76,73,70
1405,Isha Naidu,100,75,73,74,89,89,70
1406,Neha Singh,75,58,61,89,93,68,72
1407,Sai Rao,89,53,42,82,60,76,95
1408,Aadhya Mehta,62,80,43,91,75,95,55
1409,Arjun Yadav,63,51,55,71,71,76,70
1410,Aarav Malhotra,86,89,71,96,83,92,60
1411,Arjun Tiwari,74,57,83,62,73,69,88
1412,Rahul Bhat,82,93,71,60,61,90,100
1413,Om Shetty,88,100,74,58,48,75,88
1414,Tanvi Verma,79,100,71,59,55,84,75
1415,Anjali Pai,95,80,92,51,51,69,79
1416,Shreya Kumar,98,76,74,81,74,54,88
1417,Rahul Naidu,93,75,83,45,88,64,59
1418,Aadhya Kumar,71,71,61,76,71,59,100
1419,Tanvi Shetty,95,63,67,66,63,60,57
1420,Karan Bhat,72,59,64,68,73,94,85
1421,Vihaan Sharma,70,65,59,56,100,77,55
1422,Rahul Yadav,76,74,87,67,86,79,100
1423,Om Joshi,90,76,71,59,88,78,61
1424,Reyansh Chowdhury,85,78,34,82,73,68,100
1425,Shreya Rao,63,84,69,55,53,94,73
1426,Navya Rao,63,77,75,65,79,51,67
1427,Vihaan Malhotra,60,72,35,49,70,73,68
1428,Krishna Mishra,71,93,80,48,73,63,75
1429,Amit Tiwari,66,65,64,53,70,63,28
1430,Ayaan Pai,100,69,74,61,72,73,60
1431,Saanvi Gupta,74,87,74,51,65,73,65
1432,Diya Pandey,68,47,73,76,73,66,56
1433,Aadhya Yadav,89,92,67,32,66,71,56
1434,Sneha Joshi,64,73,79,58,89,51,63
1435,Yash Bhat,79,63,79,100,84,71,69
1436,Ananya Agarwal,66,72,72,64,51,76,71
1437,Aryan Menon,63,88,63,95,90,76,77
1438,Shreya Mishra,76,76,83,100,65,89,100
1439,Kabir Joshi,91,81,79,96,56,69,45
1440,Aryan Reddy,55,83,96,69,79,83,53
1441,Meera Shetty,56,61,69,46,72,70,89
1442,Priya Desai,59,82,93,55,71,64,48
1443,Anika Yadav,44,73,71,68,86,58,72
1444,Anjali Gupta,66,70,52,75,60,39,89
1445,Kavya Bose,51,84,56,71,46,84,89
1446,Yash Joshi,79,56,59,57,64,79,63
1447,Navya Verma,100,51,61,74,66,77,85
1448,Navya Yadav,83,48,94,65,83,56,58
1449,Myra Gupta,98,79,87,80,72,73,66
1450,Aditya Joshi,67,66,69,66,51,82,68
1451,Krishna Bhat,100,74,74,81,48,51,65
1452,Anika Singh,58,89,85,51,77,42,72
1453,Navya Reddy,91,83,64,50,59,62,73
1454,Vihaan Mehta,73,78,76,66,77,70,78
1455,Kiara Malhotra,71,61,67,65,86,63,66
1456,Saanvi Deshpande,82,78,80,78,59,74,77
1457,Yash Shetty,100,72,56,72,86,62,70
1458,Meera Bose,77,86,61,60,74,90,94
1459,Aditya Naidu,83,65,80,86,53,97,45
1460,Anika Gupta,82,60,36,78,75,65,60
1461,Aryan Kapoor,85,68,87,93,58,59,69
1462,Dev Pai,76,56,67,72,68,71,75
1463,Aadhya Pandey,66,66,64,71,68,57,69
1464,Vivaan Malhotra,62,88,69,37,100,90,66
1465,Shreya Joshi,78,85,65,61,90,83,84
1466,Arjun Bhat,64,60,100,82,100,84,63
1467,Amit Pillay,80,77,58,83,56,88,70
1468,Neha Sharma,71,63,76,90,65,61,42
1469,Meera Chowdhury,89,72,68,94,71,76,75
1470,Amit Desai,47,89,73,76,70,73,55
1471,Reyansh Agarwal,61,70,62,53,77,71,81
1472,Sneha Sharma,83,56,56,58,64,66,76
1473,Kiara Pandey,79,64,59,73,68,75,95
1474,Ishaan Reddy,73,72,75,87,72,100,53
1475,Vivaan Nair,68,51,79,87,98,57,68
1476,Kiara Kapoor,57,62,63,85,87,72,100
1477,Pooja Joshi,71,74,61,89,54,79,89
1478,Reyansh Iyer,79,53,55,50,91,76,55
1479,Isha Desai,57,67,62,61,86,51,96
1480,Myra Bose,84,64,80,93,69,67,84
1481,Aryan Yadav,66,69,51,80,61,69,65
1482,Anika Menon,60,56,71,79,68,81,59
1483,Rohan Kapoor,74,86,51,74,55,49,60
1484,Navya Tiwari,89,81,94,68,46,83,59
1485,Om Pandey,55,85,88,78,44,79,45
1486,Aditya Reddy,62,79,78,47,87,63,72
1487,Aarav Malhotra,92,44,100,61,100,68,66
1488,Aadhya Deshpande,68,64,71,59,68,36,82
1489,Vivaan Kumar,62,86,72,80,94,87,74
1490,Isha Pai,100,83,54,74,90,79,61
1491,Aditya Shetty,85,83,72,77,90,52,66
1492,Rajesh Desai,60,63,36,65,85,80,78
1493,Ananya Mehta,53,68,76,99,54,79,81
1494,Ayaan Nair,43,61,100,72,83,62,77
1495,Priya Agarwal,61,71,80,59,80,76,57
1496,Diya Malhotra,75,59,80,69,41,48,62
1497,Isha Nair,63,83,63,91,89,72,83
1498,Rajesh Deshpande,81,68,84,87,57,74,74
1499,Kabir Rao,74,64,69,65,54,90,63
1500,Meera Menon,59,94,70,67,96,82,63
